v,mu,FvK,b2,etam,Fext,eq_D,eq_hmin,eq_hmax,stretch_D0,stretch_D1,relax_tc
0.95,4.0,250.00000000000003,1.5,0.7,0.0,7.749406364587076,0.7651046495691681,2.6247502574242283,7.707761198333577,7.777294760724074,0.16917341129448563
0.95,4.0,250.00000000000003,1.5,0.7,6.451612903225806,7.74939339979719,0.7650893377608422,2.6247533596430044,7.139175278926825,9.005702898304333,0.16917389772430846
0.95,4.0,250.00000000000003,1.5,0.7,12.903225806451612,7.749394988436939,0.76509177711014,2.6247678527762934,6.831780404910778,9.609299101252706,0.16917434341892376
0.95,4.0,250.00000000000003,1.5,0.7,19.354838709677416,7.749390799111055,0.7650889816932881,2.624770413333466,6.587855243253528,10.104335424393465,0.16917373198569144
0.95,4.0,250.00000000000003,1.5,0.7,25.806451612903224,7.7493956423353625,0.7650981037385051,2.6247732249638194,6.379817026141815,10.549857667439255,0.16917346202591702
0.95,4.0,250.00000000000003,1.5,0.7,38.70967741935483,7.74940041019703,0.7650958637964705,2.624760781697558,6.041399253306879,11.325360910938151,0.16917418112638838
0.95,4.0,250.00000000000003,1.5,0.7,51.61290322580645,7.749393196347947,0.7650953731037661,2.6247737659938237,5.777481814498114,11.99438104418007,0.16917386480820273
0.95,4.0,250.00000000000003,1.5,0.7,58.06451612903225,7.749397995964732,0.7651051898371773,2.6247516818413525,5.66691165643804,12.303144691617241,0.16917296090867756
0.95,4.0,250.00000000000003,1.5,0.7,64.51612903225806,7.749391688635243,0.7650972266469337,2.624781422956731,5.5650428204929865,12.594881326402648,0.16917396083294553
0.95,4.0,250.00000000000003,1.5,0.7,70.96774193548387,7.7493957122059625,0.7650954085689216,2.6247819271325965,5.471767179176361,12.872819904399178,0.16917346569501904
0.95,4.0,250.00000000000003,1.5,0.7,77.41935483870967,7.749392534726844,0.7650978897320222,2.624781027189696,5.388505125705492,13.137798459633553,0.16917363502252067
0.95,4.0,250.00000000000003,1.5,0.7,90.32258064516128,7.749400308631748,0.7651015162820499,2.6247521870426356,5.228054246199774,13.63299034195145,0.1691735761825066
0.95,4.0,250.00000000000003,1.5,0.7,96.77419354838707,7.74940012650747,0.7651010842368376,2.624753309702108,5.1602222123863095,13.865202735253918,0.16917326463741889
0.95,4.0,250.00000000000003,1.5,0.7,103.2258064516129,7.749405193585713,0.7651092424295662,2.624753361512721,5.089922761449014,14.088410473575083,0.16917323268620713
0.95,4.0,250.00000000000003,1.5,0.7,109.6774193548387,7.749394992064843,0.765097743444404,2.624779247753026,5.022213674202777,14.30332079456689,0.16917449557783146
0.95,4.0,250.00000000000003,1.5,0.7,116.1290322580645,7.749399747496496,0.7650967297216081,2.6247522592587593,4.957978629135242,14.510239954090034,0.16917419525156943
0.95,4.0,250.00000000000003,1.5,0.7,122.58064516129032,7.7493883193718345,0.7650838979827979,2.6247956044775753,4.893445605543535,14.710348345783942,0.16917425120696403
0.95,4.0,250.00000000000003,1.5,0.7,129.03225806451613,7.749386834710885,0.7650963317525912,2.624795843474931,4.834632922229132,14.90402195586968,0.16917332890191097
0.95,4.0,250.00000000000003,1.5,0.7,141.93548387096774,7.749398521412551,0.765088865975323,2.6247682514723256,4.71034528427163,15.273505228835436,0.16917376631092876
0.95,4.0,250.00000000000003,1.5,0.7,148.38709677419354,7.749394398232274,0.7650889050354027,2.6247716798053013,4.647128924669406,15.449992126511011,0.16917397338782908
0.95,4.0,250.00000000000003,1.5,0.7,154.83870967741933,7.74939916208352,0.7651013165274302,2.62474818000446,4.581453895204848,15.621133675210354,0.16917329733970773
0.95,4.0,250.00000000000003,1.5,0.7,167.74193548387095,7.74939537771998,0.7650897684882657,2.6247881564885227,4.445896381505973,15.950260179213817,0.16917416901152413
0.95,4.0,250.00000000000003,1.5,0.7,174.19354838709677,7.749397204955586,0.7650945238232109,2.6247852908799025,4.375632016321896,16.10911582865877,0.1691739605132829
0.95,4.0,250.00000000000003,1.5,0.7,180.64516129032256,7.749398391288591,0.7650893225051502,2.6247802043438657,4.2980282789862185,16.262498617273067,0.16917413770730103
0.95,4.0,250.00000000000003,1.5,0.7,187.0967741935484,7.749403972336628,0.7651002462650591,2.6247413140794498,4.214221752800096,16.410076596170054,0.16917323627031616
0.95,4.0,250.00000000000003,1.5,0.7,193.54838709677415,7.749389983740625,0.7650870275365149,2.6247783356596117,4.123236463954434,16.550316203415225,0.1691734928664601
0.95,4.0,250.00000000000003,1.5,0.7,200.0,7.749393970277543,0.7650927720740786,2.62475143045824,4.020118952548652,16.6801895817018,0.16917331992026127
