v,mu,FvK,b2,etam,Fext,eq_D,eq_hmin,eq_hmax,stretch_D0,stretch_D1,relax_tc
0.95,4.0,10.0,1.5,0.7,100.0,8.08856059423866,1.1025414605447705,2.305213848268712,5.517873880794849,13.539895080634635,0.1265156418227619
0.95,4.0,41.935483870967744,1.5,0.7,100.0,8.020704805641767,0.9667097040591508,2.3871110332721486,5.411480146810267,13.989865988046189,0.13388929206444938
0.95,4.0,73.87096774193549,1.5,0.7,100.0,7.960025064257808,0.8762804672489276,2.441279302084338,5.377158647137595,13.95765468442583,0.14081508839528994
0.95,4.0,105.80645161290322,1.5,0.7,100.0,7.909385824406096,0.8189949299111173,2.4938463417134837,5.33393143365088,13.963192089491494,0.14668546192827508
0.95,4.0,137.74193548387098,1.5,0.7,100.0,7.865148943191923,0.7895347199271027,2.535781128083678,5.28926481890822,13.908251728532376,0.15207718904513845
0.95,4.0,169.6774193548387,1.5,0.7,100.0,7.8270720112966865,0.7738092409312871,2.564392181505803,5.24725506061209,13.999295311315695,0.15630882657926842
0.95,4.0,201.61290322580643,1.5,0.7,100.0,7.793782027412096,0.7672545179780648,2.590100807791163,5.203064641843784,13.862248598602148,0.1617412892059469
0.95,4.0,233.54838709677415,1.5,0.7,100.0,7.763694212632124,0.7646115975683212,2.6144142503520382,5.152260143559775,13.964540426306753,0.16701767403895093
0.95,4.0,265.48387096774195,1.5,0.7,100.0,7.736031283159555,0.7668941575797735,2.634835084441596,5.098163124176495,13.97506643222842,0.1705773427588892
0.95,4.0,297.41935483870964,1.5,0.7,100.0,7.711980693409533,0.7742152211189013,2.6539568948015306,5.058980640863153,13.784877809708187,0.1743340762506111
0.95,4.0,329.3548387096774,1.5,0.7,100.0,7.690404711884285,0.7831702828442004,2.6704535212531137,4.994815661838396,13.745039970683754,0.17667894601922177
0.95,4.0,361.2903225806451,1.5,0.7,100.0,7.6708863126289115,0.7909637644284545,2.6832197942578486,4.970872692022162,13.66746120958674,0.17943349143864123
0.95,4.0,393.22580645161287,1.5,0.7,100.0,7.65275459808632,0.8002941750483821,2.694782454920304,4.937975731773723,13.70131690353697,0.18209678517897668
0.95,4.0,425.1612903225806,1.5,0.7,100.0,7.636671800074305,0.8108553292081465,2.7061645411224498,4.909948699625544,13.668988186454223,0.18437471319785909
0.95,4.0,457.0967741935483,1.5,0.7,100.0,7.62112198602304,0.8218136383725501,2.716370639033547,4.891542701830782,13.778682378204602,0.1859263082875541
0.95,4.0,520.9677419354839,1.5,0.7,100.0,7.594285041453728,0.8445622830169063,2.7378295377763013,4.846213200418448,13.72546245331085,0.18975254742306677
0.95,4.0,552.9032258064516,1.5,0.7,100.0,7.581744457732695,0.8544213299355569,2.746714269063753,4.818824109857408,13.677473206362539,0.19322470356663357
0.95,4.0,584.8387096774193,1.5,0.7,100.0,7.570646354048442,0.8642417480471967,2.7555332259436507,4.800785917862316,13.63957811865466,0.19646653154316512
0.95,4.0,616.7741935483871,1.5,0.7,100.0,7.560109748441512,0.8748601556589972,2.7638185850232437,4.790340552278955,13.612185516348022,0.2004714591860755
0.95,4.0,648.7096774193548,1.5,0.7,100.0,7.550191603460103,0.8849653995245231,2.7714619799903057,4.77992227110975,13.604863498116389,0.20256503487781202
0.95,4.0,680.6451612903226,1.5,0.7,100.0,7.540802209151522,0.8939755674090797,2.778851080664187,4.767575796705385,13.604211584145007,0.19765385835261157
0.95,4.0,712.5806451612902,1.5,0.7,100.0,7.532156911498695,0.9029767057405901,2.7857621313507677,4.763757444465251,13.591195604758958,0.20400882211786855
0.95,4.0,776.4516129032257,1.5,0.7,100.0,7.516459745178054,0.9209072692386375,2.7980298726404897,4.73343343141395,13.47324414431871,0.20768136343876345
0.95,4.0,808.3870967741935,1.5,0.7,100.0,7.508890065497454,0.9295433601816001,2.803645752173097,4.731575431725201,13.502352880973532,0.2062914907283386
0.95,4.0,840.3225806451612,1.5,0.7,100.0,7.501972145879831,0.937697693925469,2.8088552956477946,4.724333804449727,13.515793434006232,0.2033365341933617
0.95,4.0,872.258064516129,1.5,0.7,100.0,7.495568655518622,0.9454336916324793,2.813529159473583,4.732916279353992,13.432077034451547,0.20798177223134326
0.95,4.0,904.1935483870966,1.5,0.7,100.0,7.489483438122049,0.9531850818947492,2.8184050133347327,4.723394303956087,13.353674513850303,0.20812835661803739
0.95,4.0,936.1290322580646,1.5,0.7,100.0,7.4837252290379,0.9606678125956509,2.8232375748120027,4.7177427005000805,13.353709384285292,0.20863794569266836
0.95,4.0,968.0645161290321,1.5,0.7,100.0,7.478433467797148,0.967738164230983,2.828031142120202,4.714887800574681,13.354720074395495,0.2090901671629351
0.95,4.0,1000.0,1.5,0.7,100.0,7.473467732448968,0.9747807261595527,2.832390780506843,4.713041793557903,13.355674369852085,0.2094915764647863
