v,mu,FvK,b2,etam,Fext,eq_D,eq_hmin,eq_hmax,stretch_D0,stretch_D1,relax_tc
0.95,1.0,250.00000000000003,1.5,0.7,100.0,7.745665721744484,0.771951268859118,2.6198757957410495,3.8091863351764426,17.49968566886583,0.7417878387294015
0.95,1.2903225806451613,250.00000000000003,1.5,0.7,100.0,7.7486149429360465,0.7633505423085435,2.640979035229166,3.724833985603315,17.147928795348804,0.5632793275524824
0.95,1.5806451612903225,250.00000000000003,1.5,0.7,100.0,7.74772113874102,0.7614802759962233,2.6186643114533577,3.6910485087018836,16.849400370346693,0.45424269688025065
0.95,1.870967741935484,250.00000000000003,1.5,0.7,100.0,7.747018283198155,0.7665181807318757,2.621923124325727,3.8314674328730574,16.59599559929362,0.38065023128419284
0.95,2.161290322580645,250.00000000000003,1.5,0.7,100.0,7.744042871587993,0.763130522083755,2.6414083208147363,4.262069526109036,16.106853778229432,0.3220534365862352
0.95,2.4516129032258065,250.00000000000003,1.5,0.7,100.0,7.743978295591563,0.7620630485706379,2.623922307673021,4.505263895137835,15.56502496913477,0.28478195336167295
0.95,2.741935483870968,250.00000000000003,1.5,0.7,100.0,7.74529405715871,0.7587064233095032,2.6280134731402116,4.677958246357348,15.169760564583024,0.25345728928796113
0.95,3.0322580645161286,250.00000000000003,1.5,0.7,100.0,7.74535623961169,0.7659701149355731,2.629839798671817,4.813216099414659,14.83311931508674,0.22644159529882027
0.95,3.32258064516129,250.00000000000003,1.5,0.7,100.0,7.744073960741648,0.7671250150641586,2.6357761437497103,4.931177902410089,14.399454853962157,0.2062176892119834
0.95,3.612903225806452,250.00000000000003,1.5,0.7,100.0,7.748563538396905,0.7643214801219484,2.6198331720729264,5.017980695368299,14.184598335533414,0.18807562178092108
0.95,3.903225806451613,250.00000000000003,1.5,0.7,100.0,7.747399454472649,0.764374551195262,2.622652933766248,5.116328587180803,13.88318538442148,0.17517148473548078
0.95,4.193548387096774,250.00000000000003,1.5,0.7,100.0,7.747594653289282,0.7633723769579593,2.644961785095375,5.190431897885031,13.790262619120442,0.16316096134617158
0.95,4.483870967741936,250.00000000000003,1.5,0.7,100.0,7.7444317372048435,0.7642040141463967,2.6242387602183856,5.255055629048399,13.470152299634886,0.1510185146271039
0.95,4.774193548387097,250.00000000000003,1.5,0.7,100.0,7.743195631206795,0.7631820846628834,2.6385650738519293,5.335888870278459,13.127334483596671,0.1424871950384823
0.95,5.064516129032257,250.00000000000003,1.5,0.7,100.0,7.744757073569165,0.7568883544989051,2.6373771787623648,5.389602212788746,13.098197351937824,0.1344059023347723
0.95,5.354838709677421,250.00000000000003,1.5,0.7,100.0,7.745063237105624,0.7679877796151272,2.622623162741275,5.4523530352476905,12.941733378092731,0.1264943720964682
0.95,5.64516129032258,250.00000000000003,1.5,0.7,100.0,7.747178185489269,0.7693899862505408,2.642533170913887,5.492221628759872,12.688691834516407,0.11814362243331582
0.95,5.935483870967742,250.00000000000003,1.5,0.7,100.0,7.748060118222122,0.7681414724210621,2.6381363483319644,5.5503750378576395,12.68586078674094,0.1136929516823958
0.95,6.516129032258065,250.00000000000003,1.5,0.7,100.0,7.750491524664513,0.7621811638775681,2.6329928374749842,5.638629748253469,12.356577083011357,0.10350666153734978
0.95,6.806451612903226,250.00000000000003,1.5,0.7,100.0,7.743515027758085,0.764899135581241,2.6349939689700523,5.676250398033854,12.153815936341589,0.0977416244976503
0.95,7.096774193548388,250.00000000000003,1.5,0.7,100.0,7.744267654096449,0.7659245310441166,2.6213766289580507,5.720487286460726,12.018870494401225,0.09416111685991319
0.95,7.387096774193549,250.00000000000003,1.5,0.7,100.0,7.747910132156947,0.7632370954948282,2.6296920540192072,5.75551813388644,12.026161214711571,0.09104295481848536
0.95,7.67741935483871,250.00000000000003,1.5,0.7,100.0,7.748904848264364,0.7645348751725162,2.6234186027414483,5.787187168148122,11.873229445483988,0.08619490489893687
0.95,7.967741935483872,250.00000000000003,1.5,0.7,100.0,7.743689821424421,0.7617886988177303,2.6413225344679048,5.831658703999616,11.837912122007822,0.08402409109909342
0.95,8.548387096774194,250.00000000000003,1.5,0.7,100.0,7.744804853218622,0.7618788869858789,2.6352744466538427,5.897004597824965,11.673218075542485,0.07817674880991496
0.95,8.838709677419356,250.00000000000003,1.5,0.7,100.0,7.747494813403915,0.7636802724960454,2.632457625628698,5.91426426063487,11.583944151690195,0.07487193966749808
0.95,9.129032258064514,250.00000000000003,1.5,0.7,100.0,7.7469452617976025,0.7675411459360627,2.6302944106426205,5.9317338925638765,11.529741433851854,0.07187971269722382
0.95,9.41935483870968,250.00000000000003,1.5,0.7,100.0,7.747804958270821,0.7636388968975727,2.6316267334686887,5.982802725041622,11.473275196700943,0.07057703713142079
0.95,9.709677419354842,250.00000000000003,1.5,0.7,100.0,7.746086345829038,0.7629047987017262,2.630829362282055,6.005605293436708,11.375672703143689,0.06804074983401463
0.95,10.0,250.00000000000003,1.5,0.7,100.0,7.7452541395944685,0.7624289326069339,2.6283153872674347,6.0317795296067045,11.281364908340507,0.06550382742612347
